TEAM,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAC,KC,MIA,MIN,NE,NO,NYG,NYJ,OAK,PHI,PIT,SD,SF,SEA,STL,TB,TEN,WAS
1,NO,PHI,@DEN,IND,@JAC,GB,@OAK,@NYJ,NYG,BAL,@SD,@CHI,KC,@BUF,CAR,@HOU,@WAS,@SF,PIT,@ARI,@DAL,CLE,CIN,@ATL,@NE,DET,MIN,@STL,SEA,TEN,@TB,MIA
2,@CHI,@NYG,@OAK,NE,HOU,ARI,SD,TEN,@PHI,@KC,@MIN,SEA,@CAR,NYJ,MIA,DEN,@JAC,DET,@BUF,TB,ATL,@IND,BAL,DAL,SF,@CIN,@PIT,@GB,@WAS,@NO,@CLE,STL
3,SF,@DAL,CIN,@MIA,NO,@SEA,@BAL,OAK,ATL,@DET,DEN,KC,TB,@TEN,@NE,@GB,BUF,SD,JAC,@CAR,WAS,PHI,@CLE,@NYJ,@STL,@MIN,@ARI,CHI,PIT,@HOU,IND,@NYG
4,STL,HOU,@PIT,NYG,@TB,OAK,KC,@SD,@NO,MIN,@SEA,@SF,@ATL,JAC,@IND,@CIN,NYJ,@DEN,BYE,DAL,@BUF,@MIA,@CHI,@WAS,BAL,CLE,GB,DET,@ARI,CAR,BYE,PHI
5,@DET,WAS,CLE,@TEN,BYE,@KC,SEA,@BAL,NE,@OAK,ARI,STL,IND,@HOU,@TB,CHI,BYE,BYE,@DAL,@PHI,SF,BYE,DEN,NO,@SD,PIT,@NYG,@CIN,@GB,JAC,BUF,@ATL
6,@PIT,@NO,@SF,CIN,@SEA,@DET,@BUF,DEN,BYE,@CLE,CHI,SD,@JAC,NE,HOU,@MIN,@TEN,KC,@IND,ATL,@PHI,WAS,BYE,NYG,ARI,@GB,BAL,CAR,BYE,BYE,MIA,@NYJ
7,BAL,@TEN,@ARI,@JAC,PHI,BYE,BYE,@STL,@NYG,BYE,MIN,BYE,@MIA,NO,BUF,PIT,HOU,@DET,NYJ,@IND,DAL,@NE,@SD,@CAR,@KC,OAK,SEA,@SF,CLE,@WAS,ATL,TB
8,@CLE,TB,SD,BYE,IND,MIN,@PIT,ARI,SEA,GB,@KC,@DEN,TEN,@CAR,BYE,DET,@NE,@CHI,MIA,NYG,@NO,@OAK,NYJ,BYE,CIN,@BAL,@STL,@DAL,SF,@ATL,@HOU,BYE
9,BYE,@SF,BYE,MIA,GB,@SD,CLE,@CIN,PHI,@IND,BYE,@CAR,BYE,DEN,@NYJ,BYE,@BUF,STL,WAS,TEN,@TB,JAC,@PIT,@DAL,OAK,CHI,ATL,BYE,@MIN,NYG,@NO,@NE
10,@SEA,BYE,JAC,@NYJ,@TEN,@STL,HOU,@PIT,@TB,KC,@GB,DET,@CIN,BYE,@BAL,@DEN,@PHI,@OAK,@NYG,@WAS,NE,BUF,MIN,MIA,CLE,BYE,BYE,ARI,CHI,DAL,CAR,NO
11,CIN,IND,STL,@NE,WAS,DEN,@ARI,BYE,@MIA,@CHI,OAK,@MIN,NYJ,@ATL,TEN,@SD,DAL,GB,BUF,BYE,BYE,@HOU,@DET,TB,BYE,KC,@SEA,SF,@BAL,@PHI,@JAC,@CAR
12,@SF,MIN,@CLE,@KC,@DAL,@GB,STL,BAL,CAR,NE,PHI,CHI,NO,TB,SD,BUF,@NYJ,@ATL,@DEN,@HOU,@WAS,MIA,@TEN,@DET,@SEA,@JAC,ARI,PIT,@CIN,@IND,OAK,NYG
13,@STL,@TB,@MIA,HOU,@NO,SF,@CLE,CIN,@WAS,@SD,GB,@DET,@BUF,@PIT,@TEN,@OAK,BAL,SEA,PHI,CAR,NYJ,@NYG,KC,@NE,IND,DEN,@CHI,@MIN,ARI,ATL,JAC,DAL
14,MIN,@CAR,SEA,@PHI,ATL,WAS,PIT,SF,@GB,OAK,@STL,DAL,NE,@JAC,IND,SD,NYG,@ARI,@HOU,@TB,@MIA,TEN,@DEN,BUF,@CIN,@KC,@CLE,@BAL,DET,NO,@NYJ,@CHI
15,@PHI,@JAC,KC,@WAS,@NYG,@MIN,@SF,@SEA,NYJ,@PIT,@NO,@OAK,@IND,HOU,ATL,@BAL,@SD,CHI,TEN,DET,CAR,@DAL,GB,ARI,DEN,MIA,CIN,CLE,TB,@STL,@NE,BUF
16,GB,CAR,PIT,DAL,@ATL,@TB,@DEN,@KC,@BUF,CIN,SF,@ARI,@TEN,@MIA,@NO,CLE,IND,NYG,@NYJ,JAC,@MIN,NE,SD,WAS,@BAL,@OAK,@DET,STL,@SEA,CHI,HOU,@PHI
17,SEA,NO,@CIN,NYJ,TB,DET,BAL,PIT,WAS,SD,@CHI,MIN,JAC,TEN,@HOU,OAK,NE,@GB,@MIA,@ATL,PHI,@BUF,@KC,@NYG,@CLE,@DEN,STL,@ARI,@SF,@CAR,@IND,@DAL
